trade_date,000001.SZ,000002.SZ,000060.SZ,000503.SZ,002241.SZ
20181011,9.86,20.93,4.36,16.22,7.35
20181012,10.3,21.8,4.34,14.6,7.33
20181015,10.11,21.47,4.15,13.21,7.03
20181016,10.37,21.01,4.09,13.62,6.72
20181017,10.33,21.22,4.14,13.74,6.83
20181018,10.09,20.59,3.96,13.56,6.89
20181019,10.76,21.56,4.09,14.11,7.06
20181022,11.15,22.82,4.25,14.99,7.43
20181023,10.84,22.14,4.15,14.5,7.21
20181024,11.04,22.58,4.24,14.69,7.1
20181025,11.29,23.49,4.21,14.31,7.06
20181026,11.18,23.81,4.24,14.07,7.11
20181029,10.75,22.8,4.16,13.98,7.16
20181030,10.9,23.69,4.2,14.09,7.19
20181031,10.91,24.23,4.28,14.47,7.27
20181101,10.83,24.42,4.24,14.68,7.34
20181102,11.09,24.62,4.35,15.23,7.76
20181105,10.92,24.04,4.33,14.86,7.61
20181106,10.84,24.14,4.41,14.75,7.58
20181107,10.81,23.85,4.35,14.68,7.45
20181108,10.89,23.99,4.28,14.42,7.37
20181109,10.55,23.55,4.26,14.11,7.33
20181112,10.56,23.88,4.35,15.52,7.54
20181113,10.54,23.94,4.42,16.1,7.6
20181114,10.44,24.15,4.41,15.9,7.68
20181115,10.62,24.38,4.48,16.24,7.76
20181116,10.57,24.78,4.48,16.51,7.85
