trade_date,000001.SZ,000002.SZ
20170322,9.16,21.07
20170323,9.2,21.45
20170324,9.19,21.49
20170327,9.14,21.2
20170328,9.12,21.27
20170329,9.11,21.01
20170330,9.08,20.53
20170331,9.17,20.58
20170405,9.21,20.58
20170406,9.2,20.79
20170407,9.2,20.8
20170410,9.18,20.6
20170411,9.15,20.7
20170412,9.12,21.02
20170413,9.12,20.94
20170414,9.08,20.64
20170417,9.1,20.56
20170418,9.05,20.47
20170419,8.91,20.53
20170420,8.92,20.63
20170421,8.97,20.68
20170424,8.93,20.43
20170425,9.0,20.55
20170426,8.99,20.36
20170427,8.97,19.76
20170428,8.99,19.5
20170502,8.94,19.2
20170503,8.91,18.86
20170504,8.74,19.02
20170505,8.63,18.89
20170508,8.57,18.47
20170509,8.64,18.62
20170510,8.67,18.67
20170511,8.7,19.24
20170512,8.9,19.4
20170515,8.86,19.34
20170516,8.84,19.23
20170517,8.77,19.14
20170518,8.73,19.04
20170519,8.69,19.17
20170522,8.68,19.07
20170523,8.79,19.23
20170524,8.81,19.19
20170525,9.1,20.5
20170526,9.1,20.55
20170531,9.2,21.26
20170601,9.19,21.09
20170602,9.17,20.95
20170605,9.03,21.1
20170606,9.04,20.87
20170607,9.13,
20170608,9.13,
20170609,9.15,
20170612,9.11,21.7
20170613,9.12,22.0
20170614,9.08,21.35
20170615,9.04,21.04
20170616,9.02,20.94
20170619,9.13,20.98
20170620,9.12,21.03
20170621,9.15,21.04
20170622,9.25,21.88
20170623,9.25,24.07
20170626,9.3,26.48
20170627,9.36,25.54
20170628,9.43,25.0
20170629,9.43,25.16
20170630,9.39,24.97
20170703,9.4,24.57
20170704,9.34,23.86
20170705,9.37,24.54
20170706,9.4,24.22
20170707,9.47,24.66
20170710,9.59,24.43
20170711,10.25,24.75
20170712,10.34,25.46
20170713,10.9,24.43
20170714,10.9,24.59
20170717,10.81,
20170718,11.05,25.3
20170719,11.09,25.14
20170720,10.97,25.35
20170721,10.89,24.78
20170724,10.95,23.8
20170725,11.0,23.26
20170726,10.74,23.42
20170727,10.59,23.0
20170728,10.74,23.63
20170731,10.67,23.37
20170801,11.04,23.42
20170802,11.15,23.58
20170803,11.01,23.11
20170804,11.17,22.84
20170807,11.0,22.71
20170808,11.05,22.77
20170809,10.73,22.95
20170810,10.62,22.8
20170811,10.02,22.02
20170814,10.22,21.95
20170815,10.31,22.02
20170816,10.34,21.86
20170817,10.42,21.92
20170818,10.44,22.82
20170821,10.46,22.62
20170822,10.65,23.21
20170823,10.9,23.24
20170824,10.93,23.09
20170825,11.11,23.2
20170828,11.35,24.01
20170829,11.67,23.36
20170830,11.43,23.24
20170831,11.28,23.23
20170901,11.21,22.88
20170904,11.72,22.96
20170905,11.64,23.76
20170906,11.7,23.8
20170907,11.44,25.97
20170908,11.49,25.79
