trade_date,index,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
20181116,0,000858.SZ,50.8,51.18,50.41,50.69,50.59,0.1,0.1977,196548.68,998312.549
20181115,1,000858.SZ,50.36,50.84,50.21,50.59,50.17,0.42,0.8372,151935.11,768330.766
20181114,2,000858.SZ,51.25,51.26,50.06,50.17,51.25,-1.08,-2.1073,206289.63,1040308.055
20181113,3,000858.SZ,49.4,51.69,49.27,51.25,50.05,1.2,2.3976,326150.89,1651313.768
20181112,4,000858.SZ,49.84,50.19,49.0,50.05,50.01,0.04,0.08,261821.66,1301791.732
20181109,5,000858.SZ,50.01,50.44,49.89,50.01,50.69,-0.68,-1.3415,146378.08,733423.985
20181108,6,000858.SZ,51.14,51.49,50.5,50.69,50.5,0.19,0.3762,182009.62,928122.739
20181107,7,000858.SZ,50.91,51.5,50.22,50.5,50.8,-0.3,-0.5906,240856.54,1226555.649
20181106,8,000858.SZ,51.73,51.73,50.02,50.8,51.75,-0.95,-1.8357,283324.05,1431547.618
20181105,9,000858.SZ,52.66,52.9,51.1,51.75,53.69,-1.94,-3.6133,457640.85,2369001.862
20181102,10,000858.SZ,51.78,53.69,50.85,53.69,49.65,4.04,8.137,593915.64,3096208.024
20181101,11,000858.SZ,49.1,50.95,48.71,49.65,48.15,1.5,3.1153,639045.5,3185378.779
20181031,12,000858.SZ,48.0,48.75,47.49,48.15,47.49,0.66,1.3898,461994.89,2224915.887
20181030,13,000858.SZ,46.8,48.84,46.06,47.49,48.87,-1.38,-2.8238,550241.93,2611486.807
20181029,14,000858.SZ,50.95,51.0,48.87,48.87,54.3,-5.43,-10.0,379558.51,1867188.641
20181026,15,000858.SZ,54.9,55.46,54.0,54.3,54.8,-0.5,-0.9124,231604.45,1261671.861
20181025,16,000858.SZ,54.95,55.38,54.02,54.8,56.29,-1.49,-2.647,290302.42,1583783.392
20181024,17,000858.SZ,56.6,57.5,54.81,56.29,58.0,-1.71,-2.9483,440495.34,2476913.916
20181023,18,000858.SZ,62.15,62.15,57.18,58.0,62.48,-4.48,-7.1703,542433.18,3220258.361
20181022,19,000858.SZ,60.22,63.0,60.21,62.48,59.49,2.99,5.0261,445531.85,2750470.637
20181019,20,000858.SZ,57.8,59.74,56.57,59.49,58.0,1.49,2.569,368965.32,2151505.919
20181018,21,000858.SZ,58.81,59.17,57.76,58.0,59.4,-1.4,-2.3569,177303.18,1035333.837
20181017,22,000858.SZ,59.9,59.98,57.7,59.4,58.97,0.43,0.7292,262416.78,1546537.894
20181016,23,000858.SZ,58.8,59.95,58.3,58.97,58.76,0.21,0.3574,152527.93,900184.446
20181015,24,000858.SZ,60.22,60.45,58.58,58.76,60.21,-1.45,-2.4082,256200.23,1522091.214
20181012,25,000858.SZ,58.8,60.51,58.6,60.21,58.72,1.49,2.5375,371526.79,2208288.025
20181011,26,000858.SZ,58.47,60.17,58.02,58.72,60.81,-2.09,-3.4369,457450.39,2689059.911
20181010,27,000858.SZ,63.5,63.7,60.5,60.81,63.36,-2.55,-4.0246,419605.88,2588361.097
20181009,28,000858.SZ,63.56,64.42,62.8,63.36,63.48,-0.12,-0.189,214204.64,1360554.848
20181008,29,000858.SZ,65.88,66.28,63.48,63.48,67.95,-4.47,-6.5784,370570.18,2385119.273
20180928,30,000858.SZ,67.47,68.3,66.8,67.95,67.37,0.58,0.8609,233828.49,1580316.135
20180927,31,000858.SZ,66.99,67.6,66.43,67.37,67.2,0.17,0.253,216315.63,1449181.804
20180926,32,000858.SZ,65.7,68.3,65.58,67.2,65.3,1.9,2.9096,438041.28,2938975.084
20180925,33,000858.SZ,65.82,66.39,64.88,65.3,66.42,-1.12,-1.6862,195150.14,1279057.649
20180921,34,000858.SZ,64.6,66.8,64.57,66.42,64.39,2.03,3.1527,331030.04,2175628.239
20180920,35,000858.SZ,64.4,64.85,64.03,64.39,64.44,-0.05,-0.0776,164165.71,1056728.297
20180919,36,000858.SZ,62.99,65.53,62.9,64.44,63.21,1.23,1.9459,411364.31,2653606.009
20180918,37,000858.SZ,61.62,63.6,61.01,63.21,61.86,1.35,2.1823,263861.24,1647393.657
20180917,38,000858.SZ,61.4,62.56,61.03,61.86,61.53,0.33,0.5363,235508.59,1458775.764
20180914,39,000858.SZ,60.45,62.16,59.7,61.53,59.98,1.55,2.5842,294960.29,1800648.312
