trade_date,index,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
20181116,0,600583.SH,5.52,5.6,5.46,5.52,5.53,-0.01,-0.1808,220033.53,121646.646
20181115,1,600583.SH,5.36,5.55,5.35,5.53,5.42,0.11,2.0295,322282.61,175283.307
20181114,2,600583.SH,5.36,5.44,5.23,5.42,5.68,-0.26,-4.5775,472177.95,252190.583
20181113,3,600583.SH,5.6,5.71,5.57,5.68,5.71,-0.03,-0.5254,160351.57,90627.415
20181112,4,600583.SH,5.7,5.74,5.61,5.71,5.72,-0.01,-0.1748,191155.44,108517.233
20181109,5,600583.SH,5.8,5.8,5.63,5.72,5.85,-0.13,-2.2222,142143.57,81048.039
20181108,6,600583.SH,5.85,5.93,5.77,5.85,5.81,0.04,0.6885,161299.6,94598.311
20181107,7,600583.SH,5.88,5.93,5.81,5.81,5.89,-0.08,-1.3582,94733.36,55514.586
20181106,8,600583.SH,5.85,6.05,5.8,5.89,5.89,0.0,0.0,273461.77,162723.106
20181105,9,600583.SH,5.59,5.91,5.55,5.89,5.63,0.26,4.6181,330075.61,189061.952
20181102,10,600583.SH,5.47,5.63,5.43,5.63,5.51,0.12,2.1779,330482.73,182517.151
20181101,11,600583.SH,5.5,5.62,5.43,5.51,5.58,-0.07,-1.2545,236989.01,130954.51
20181031,12,600583.SH,5.53,5.61,5.42,5.58,5.56,0.02,0.3597,183368.2,101329.074
20181030,13,600583.SH,5.46,5.63,5.45,5.56,5.52,0.04,0.7246,129781.83,71920.234
20181029,14,600583.SH,5.58,5.65,5.5,5.52,5.53,-0.01,-0.1808,132016.34,73687.881
20181026,15,600583.SH,5.53,5.66,5.46,5.53,5.53,0.0,0.0,163900.09,91330.394
20181025,16,600583.SH,5.33,5.61,5.3,5.53,5.48,0.05,0.9124,256893.7,140627.768
20181024,17,600583.SH,5.47,5.62,5.28,5.48,5.87,-0.39,-6.644,428843.38,234306.625
20181023,18,600583.SH,6.04,6.08,5.8,5.87,6.05,-0.18,-2.9752,204600.35,121073.249
20181022,19,600583.SH,5.84,6.08,5.81,6.05,5.8,0.25,4.3103,256222.32,153229.659
20181019,20,600583.SH,5.7,5.85,5.39,5.8,5.75,0.05,0.8696,296784.56,167617.215
20181018,21,600583.SH,5.72,5.83,5.68,5.75,5.85,-0.1,-1.7094,161791.76,92974.056
20181017,22,600583.SH,6.05,6.11,5.69,5.85,6.0,-0.15,-2.5,226464.99,133328.851
20181016,23,600583.SH,6.08,6.26,5.86,6.0,6.11,-0.11,-1.8003,181160.9,109707.15
20181015,24,600583.SH,6.11,6.22,6.03,6.11,6.13,-0.02,-0.3263,147722.98,90543.241
20181012,25,600583.SH,5.9,6.16,5.76,6.13,6.04,0.09,1.4901,259478.24,153779.155
20181011,26,600583.SH,6.45,6.45,6.04,6.04,6.71,-0.67,-9.9851,321124.06,197756.451
20181010,27,600583.SH,6.86,6.86,6.64,6.71,6.84,-0.13,-1.9006,181843.49,122283.526
20181009,28,600583.SH,6.68,6.96,6.62,6.84,6.65,0.19,2.8571,290543.29,198089.942
20181008,29,600583.SH,6.63,6.87,6.6,6.65,6.76,-0.11,-1.6272,204249.37,137801.828
20180928,30,600583.SH,6.71,6.8,6.62,6.76,6.73,0.03,0.4458,164481.38,110025.942
20180927,31,600583.SH,6.8,6.89,6.68,6.73,6.84,-0.11,-1.6082,182783.61,123774.67
20180926,32,600583.SH,6.79,7.06,6.73,6.84,6.77,0.07,1.034,338012.4,233248.52
20180925,33,600583.SH,6.82,7.02,6.75,6.77,6.75,0.02,0.2963,282907.05,194413.941
20180921,34,600583.SH,6.69,6.75,6.5,6.75,6.7,0.05,0.7463,234730.13,155737.721
20180920,35,600583.SH,6.87,6.87,6.67,6.7,6.83,-0.13,-1.9034,209303.59,141139.685
20180919,36,600583.SH,6.45,6.89,6.44,6.83,6.48,0.35,5.4012,333420.39,224689.048
20180918,37,600583.SH,6.43,6.56,6.29,6.48,6.54,-0.06,-0.9174,188538.01,120690.884
20180917,38,600583.SH,6.59,6.63,6.45,6.54,6.63,-0.09,-1.3575,187073.7,122027.349
20180914,39,600583.SH,6.72,6.75,6.51,6.63,6.7,-0.07,-1.0448,217209.66,144349.955
20180913,40,600583.SH,6.52,6.8,6.52,6.7,6.54,0.16,2.4465,287416.44,192365.57
20180912,41,600583.SH,6.6,6.7,6.44,6.54,6.6,-0.06,-0.9091,216136.24,141013.966
20180911,42,600583.SH,6.3,6.64,6.28,6.6,6.32,0.28,4.4304,382415.41,249691.927
20180910,43,600583.SH,6.38,6.4,6.26,6.32,6.36,-0.04,-0.6289,124096.42,78342.781
20180907,44,600583.SH,6.2,6.43,6.19,6.36,6.22,0.14,2.2508,163577.46,104075.927
20180906,45,600583.SH,6.41,6.55,6.16,6.22,6.4,-0.18,-2.8125,185551.05,117140.977
20180905,46,600583.SH,6.26,6.43,6.25,6.4,6.3,0.1,1.5873,218938.8,139780.085
20180904,47,600583.SH,6.23,6.38,6.21,6.3,6.21,0.09,1.4493,210185.65,132430.308
20180903,48,600583.SH,5.9,6.24,5.9,6.21,6.0,0.21,3.5,232585.43,142979.728
20180831,49,600583.SH,6.05,6.13,5.84,6.0,6.08,-0.08,-1.3158,190026.35,113150.352
20180830,50,600583.SH,6.13,6.31,5.99,6.08,6.1,-0.02,-0.3279,166646.5,102373.129
20180829,51,600583.SH,6.07,6.23,6.05,6.1,6.11,-0.01,-0.1637,113399.31,69340.971
20180828,52,600583.SH,6.24,6.25,6.1,6.11,6.24,-0.13,-2.0833,129434.24,79468.156
20180827,53,600583.SH,6.06,6.3,5.98,6.24,6.02,0.22,3.6545,307783.53,190624.809
20180824,54,600583.SH,5.89,6.06,5.83,6.02,5.89,0.13,2.2071,285571.39,170300.108
20180823,55,600583.SH,5.88,5.93,5.7,5.89,5.81,0.08,1.3769,225577.05,131205.759
20180822,56,600583.SH,5.77,5.88,5.75,5.81,5.76,0.05,0.8681,168338.63,97947.772
